ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
15,Hawaii,HI,15001,Hawaii County,15001020100,Census Tract 201; Hawaii County; Hawaii,97.064446654332,4499,472,2089,161,1644,141,818,213,183,104,367,95,268,107,210,97,890,144,840,192,754,148,68,42,204,94,3555,505,6,5,10,12,83,41,89,36,18,5,18.3,4.3,7.7,3.9,22.3,5.5,8.1,3.1,4.7,2.0,19.8,3.7,18.7,3.1,16.9,3.4,4.1,2.5,4.7,2.1,79.0,7.6,0.2,0.2,0.5,0.6,5.0,2.5,5.4,2.1,0.4,0.1,0.6792,0.7725,0.4693,0.6854,0.691,3.2974,0.7844,0.4554,0.4671,0.8561,0.5613,0.6948,3.0347,0.8019,0.4014,0.4014,0.4014,0.2075,0.8278,0.3561,0.5637,0.5352,2.4903,0.6675,9.2238,0.7488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2851,318,91,5,7,542,190,1132,249,0,12,553,229,1315,342,8,10,19.3,5.4,0.1,0.1,12.0,4.0,25.2,5.0,0.0,0.7,12.3,4.8,29.2,6.2,0.2,0.2
15,Hawaii,HI,15003,Honolulu County,15003002404,Census Tract 24.04; Honolulu County; Hawaii,0.060514152562,1471,224,809,90,708,67,145,70,46,54,290,100,77,51,75,72,237,87,189,52,250,140,22,36,60,61,1300,231,475,132,0,12,74,50,184,77,0,12,9.9,4.5,4.7,5.5,41.0,13.6,6.3,4.2,5.1,5.0,16.1,5.4,12.8,2.9,17.2,9.7,3.1,5.1,4.2,4.2,88.4,8.1,58.7,15.0,0.0,3.9,10.5,7.0,26.0,10.6,0.0,0.8,0.3467,0.5355,0.8726,0.5493,0.7335,3.0376,0.6825,0.2864,0.1714,0.8656,0.4458,0.6596,2.4288,0.4599,0.6526,0.6526,0.6526,0.8373,0.0,0.6816,0.9245,0.0,2.4434,0.6509,8.5624,0.6801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,787,18,21,56,84,95,77,734,236,0,12,243,109,172,78,0,12,2.5,2.9,3.8,5.6,6.5,5.4,49.9,11.1,0.0,2.2,16.5,7.3,11.7,5.8,0.0,2.2
15,Hawaii,HI,15003,Honolulu County,15003002500,Census Tract 25; Honolulu County; Hawaii,0.16377867687,3603,550,2239,187,1863,237,690,267,139,102,873,221,259,152,117,87,887,232,223,117,434,188,18,30,166,124,3165,587,1135,253,0,12,138,87,555,181,80,4,19.5,6.9,6.1,4.0,46.9,10.3,8.4,4.7,3.4,2.4,24.6,6.1,6.2,3.0,12.5,5.1,1.0,1.6,4.7,3.4,87.8,9.3,50.7,10.5,0.0,1.4,7.4,4.6,29.8,8.4,2.2,0.4,0.7123,0.6588,0.9434,0.716,0.5425,3.573,0.8578,0.7183,0.0258,0.566,0.191,0.6948,2.1959,0.3278,0.6385,0.6385,0.6385,0.816,0.0,0.5118,0.9434,0.7981,3.0693,0.8373,9.4767,0.7844,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4158,221,102,25,40,201,127,1901,408,0,12,268,182,754,324,16,25,11.9,5.5,0.7,1.1,5.6,3.5,52.8,8.3,0.0,0.9,7.4,4.9,20.9,8.1,0.4,0.7
15,Hawaii,HI,15003,Honolulu County,15003002600,Census Tract 26; Honolulu County; Hawaii,0.256362461552,3981,623,2016,170,1865,183,1018,342,172,101,934,213,203,142,203,96,811,125,497,157,457,152,50,59,389,163,3524,645,1348,192,0,12,134,97,489,143,267,23,26.6,7.8,7.5,4.0,50.1,10.3,7.1,4.8,5.2,2.4,20.4,4.6,12.5,3.9,11.8,4.1,2.7,3.2,10.1,3.9,88.5,8.4,66.8,7.7,0.0,1.6,7.2,5.2,26.2,7.5,6.7,1.2,0.8514,0.7512,0.9623,0.5986,0.7406,3.9041,0.9171,0.4859,0.1643,0.5142,0.408,0.892,2.4644,0.4953,0.6549,0.6549,0.6549,0.8703,0.0,0.5,0.9269,0.9178,3.215,0.8844,10.2384,0.891,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,8045,262,101,59,68,193,111,1919,324,41,70,719,250,593,371,0,12,14.0,5.2,1.5,1.7,4.8,2.9,48.2,8.8,1.0,1.8,18.1,5.0,14.9,7.7,0.0,0.8
15,Hawaii,HI,15003,Honolulu County,15003002701,Census Tract 27.01; Honolulu County; Hawaii,0.57770318699,3712,301,824,204,725,212,256,112,170,103,198,74,20,23,686,186,275,43,221,88,360,116,31,32,32,57,2842,378,247,76,0,12,57,48,89,53,2144,52,16.0,6.4,8.4,5.3,27.3,6.4,1.2,1.4,18.6,5.3,7.4,1.3,6.0,2.4,9.7,3.1,4.3,4.2,0.9,1.6,76.6,8.1,29.9,5.5,0.0,3.9,7.8,6.2,12.3,7.8,57.8,4.9,0.6061,0.8223,0.6014,0.0939,0.9976,3.1213,0.7227,0.1056,0.0235,0.3184,0.5873,0.1972,1.232,0.0236,0.3756,0.3756,0.3756,0.7288,0.0,0.5425,0.7807,0.9812,3.0332,0.8231,7.7621,0.5545,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,17991,15,13,118,65,257,106,1416,301,15,21,290,135,740,216,6,15,2.1,1.9,3.2,1.8,6.9,2.8,38.1,7.2,0.4,0.6,7.8,3.6,19.9,5.5,0.2,0.4
15,Hawaii,HI,15003,Honolulu County,15003002702,Census Tract 27.02; Honolulu County; Hawaii,0.398548384072,5029,792,2256,255,2075,263,838,450,138,122,508,170,151,100,208,129,1251,245,598,250,625,247,179,90,219,130,4013,879,1091,204,0,17,108,80,183,100,152,33,17.0,8.7,4.5,3.9,24.5,7.6,3.7,2.4,4.2,2.7,24.9,4.3,11.9,3.9,12.6,4.3,8.6,4.2,4.5,2.6,79.8,12.1,48.4,7.2,0.0,1.4,5.2,3.8,8.8,4.8,3.0,0.5,0.6439,0.5071,0.5401,0.3357,0.6321,2.6589,0.5427,0.7347,0.1338,0.5802,0.8726,0.6831,3.0044,0.7854,0.4085,0.4085,0.4085,0.809,0.0,0.3774,0.6934,0.838,2.7178,0.7241,8.7896,0.6991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11488,146,85,60,93,791,421,2192,374,0,17,154,141,803,260,13,22,7.0,4.1,1.2,1.8,15.7,7.1,43.6,7.3,0.0,0.6,3.1,2.6,16.0,5.6,0.3,0.4
15,Hawaii,HI,15003,Honolulu County,15003002801,Census Tract 28.01; Honolulu County; Hawaii,0.260027727838,1757,342,645,79,620,86,103,73,25,25,137,67,18,20,41,29,409,90,240,95,126,66,10,20,110,89,1280,432,282,70,0,12,47,56,7,11,57,4,6.1,4.1,2.5,2.6,22.1,10.4,1.5,1.7,2.3,1.7,23.3,6.8,13.7,3.5,7.2,4.4,1.6,3.2,6.4,5.0,72.9,20.1,43.7,9.4,0.0,4.9,7.6,9.0,1.1,1.8,3.2,0.7,0.1675,0.2464,0.4575,0.1174,0.3656,1.3544,0.1564,0.6596,0.2113,0.1509,0.2618,0.777,2.0606,0.2618,0.3122,0.3122,0.3122,0.7901,0.0,0.5283,0.1934,0.8474,2.3592,0.625,6.0864,0.2844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857,34,26,0,12,84,84,898,222,0,12,4,6,294,105,0,12,5.5,4.2,0.0,1.8,4.8,5.0,51.1,10.7,0.0,1.8,0.2,0.4,16.7,6.5,0.0,1.8
15,Hawaii,HI,15003,Honolulu County,15003002802,Census Tract 28.02; Honolulu County; Hawaii,0.629902632982,2458,393,993,165,944,179,299,130,22,27,200,107,36,43,76,90,591,153,305,76,227,129,0,16,80,71,1678,448,0,16,0,12,15,26,161,110,0,12,12.2,4.9,1.5,1.8,21.2,10.6,1.9,2.2,3.1,3.6,24.0,5.0,12.4,3.0,9.4,4.8,0.0,1.7,3.3,2.9,68.3,14.6,0.0,1.6,0.0,3.2,1.6,2.7,17.1,10.0,0.0,0.5,0.4458,0.1209,0.4269,0.1549,0.5024,1.6509,0.2322,0.6901,0.1573,0.2995,0.0,0.5939,1.7408,0.1156,0.2535,0.2535,0.2535,0.0,0.0,0.1321,0.8349,0.0,0.967,0.1392,4.6122,0.0687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,73,53,33,28,159,128,876,207,0,12,206,169,404,175,0,12,7.7,5.2,1.3,1.2,6.5,5.2,35.6,6.9,0.0,1.3,8.4,6.3,16.4,6.3,0.0,1.3
15,Hawaii,HI,15003,Honolulu County,15003002900,Census Tract 29; Honolulu County; Hawaii,0.453840893186,2502,280,943,148,924,154,202,99,43,34,89,47,13,13,69,49,428,82,555,110,144,48,34,28,31,57,1661,325,92,40,19,29,29,23,93,46,63,16,8.1,3.9,3.2,2.6,9.6,4.8,0.7,0.7,2.8,2.0,17.1,3.2,22.2,3.4,5.8,2.0,3.6,3.0,1.3,2.5,66.4,10.7,9.7,4.0,2.0,3.1,3.1,2.4,10.1,5.3,2.5,0.6,0.2854,0.3507,0.0802,0.0563,0.4481,1.2207,0.1114,0.3216,0.6408,0.0825,0.4976,0.3099,1.8524,0.158,0.2347,0.2347,0.2347,0.5401,0.9575,0.2571,0.7476,0.8075,3.3098,0.9057,6.6176,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2695,72,41,0,12,114,55,1069,211,9,15,37,86,432,132,0,12,7.8,4.5,0.0,1.3,4.6,2.2,42.7,6.4,0.4,0.6,1.5,3.5,17.3,4.2,0.0,1.3
15,Hawaii,HI,15003,Honolulu County,15003003000,Census Tract 30; Honolulu County; Hawaii,0.584139893432,4658,546,1699,240,1633,246,382,165,105,66,239,110,82,53,12,20,1273,208,894,178,331,122,25,25,57,64,3656,626,13,21,0,12,46,34,36,27,175,16,8.4,3.5,4.5,2.7,14.6,6.4,2.3,1.5,0.3,0.4,27.3,4.4,19.2,3.2,7.3,2.7,1.5,1.5,1.3,1.4,78.5,9.8,0.8,1.2,0.0,1.9,2.8,2.0,2.2,1.7,3.8,0.6,0.2925,0.5071,0.2311,0.2019,0.059,1.2916,0.1351,0.8357,0.493,0.158,0.2476,0.3099,2.0442,0.2571,0.3944,0.3944,0.3944,0.2594,0.0,0.2264,0.3042,0.8732,1.6632,0.3538,5.3934,0.1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921,37,31,0,12,271,151,2415,394,0,12,20,30,939,236,11,16,2.3,1.9,0.0,0.7,5.8,3.0,51.8,6.2,0.0,0.7,0.4,0.6,20.2,4.9,0.2,0.3
15,Hawaii,HI,15003,Honolulu County,15003003102,Census Tract 31.02; Honolulu County; Hawaii,1.503613234884,3328,401,1464,217,1269,219,223,107,131,152,138,77,63,54,16,25,1217,244,490,97,394,104,0,16,54,59,2884,431,0,16,0,12,37,26,54,47,40,9,6.7,3.1,7.8,8.4,10.9,5.8,2.3,2.1,0.5,0.8,36.6,5.7,14.7,2.7,11.9,3.2,0.0,1.3,1.7,1.8,86.7,7.7,0.0,1.1,0.0,2.2,2.9,2.0,4.3,3.8,1.2,0.2,0.2028,0.7891,0.1156,0.2019,0.0802,1.3896,0.1659,0.9859,0.2606,0.5236,0.0,0.3991,2.1692,0.3066,0.6009,0.6009,0.6009,0.0,0.0,0.2406,0.4976,0.6995,1.4377,0.2689,5.5974,0.2109,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2410,45,36,0,12,25,38,2249,304,0,12,18,22,592,196,0,12,3.5,2.8,0.0,1.0,0.8,1.1,67.6,7.3,0.0,1.0,0.5,0.6,17.8,4.9,0.0,1.0
15,Hawaii,HI,15003,Honolulu County,15003003103,Census Tract 31.03; Honolulu County; Hawaii,1.741006891278,1673,347,565,50,517,51,78,55,26,25,80,49,0,12,14,25,514,120,190,87,157,73,0,16,44,68,1540,358,61,43,5,9,24,20,21,23,3,3,4.7,3.1,2.7,2.8,15.5,9.4,0.0,2.3,0.8,1.6,30.7,8.6,11.4,4.7,9.4,4.4,0.0,3.1,2.7,4.1,92.1,9.6,10.8,7.6,0.9,1.6,4.6,3.8,4.1,4.4,0.2,0.2,0.1014,0.2796,0.2547,0.0,0.1179,0.7536,0.0284,0.9178,0.1127,0.2995,0.0,0.5258,1.8558,0.1675,0.784,0.784,0.784,0.559,0.8703,0.342,0.4906,0.4484,2.7103,0.7217,6.1037,0.2891,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,511,67,40,0,12,47,44,1205,238,3,8,40,45,245,168,0,12,13.0,7.2,0.0,1.9,2.8,2.5,72.0,10.7,0.2,0.5,2.4,2.4,14.6,8.5,0.0,1.9
15,Hawaii,HI,15003,Honolulu County,15003003104,Census Tract 31.04; Honolulu County; Hawaii,0.337898709708,2426,643,911,201,859,209,148,124,25,27,137,88,38,40,101,66,600,106,464,282,243,78,39,60,71,72,1722,671,0,16,0,12,46,60,31,33,0,12,6.1,4.9,1.9,2.1,15.9,9.5,2.1,2.4,4.2,2.7,24.7,7.0,19.1,7.3,10.0,4.6,4.5,6.9,3.0,2.9,71.0,20.3,0.0,1.8,0.0,3.5,5.3,6.9,3.6,4.0,0.0,0.5,0.1675,0.1682,0.2642,0.1784,0.6321,1.4104,0.173,0.7207,0.4859,0.3373,0.6061,0.5634,2.7134,0.6321,0.2793,0.2793,0.2793,0.0,0.0,0.3821,0.4222,0.0,0.8043,0.0943,5.2074,0.1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,25,23,0,12,106,121,1058,211,0,12,50,69,508,338,0,12,2.9,2.9,0.0,1.3,4.4,4.9,43.6,7.9,0.0,1.3,2.1,2.8,20.9,9.6,0.0,1.3
15,Hawaii,HI,15003,Honolulu County,15003003404,Census Tract 34.04; Honolulu County; Hawaii,0.101640965398,4959,629,2414,237,2226,274,602,295,133,87,767,213,130,76,81,96,1075,182,640,241,586,186,40,49,241,131,4028,677,1884,263,0,12,271,136,212,113,303,17,13.0,6.2,4.3,2.7,34.5,8.6,3.3,2.0,1.8,2.0,21.7,3.3,12.9,4.2,12.9,4.2,1.8,2.2,5.1,2.7,81.2,9.0,78.0,7.7,0.0,1.3,12.2,5.9,9.5,5.2,6.1,0.8,0.4858,0.4858,0.7642,0.2958,0.2783,2.3099,0.4289,0.5634,0.1784,0.6132,0.2901,0.716,2.3611,0.4151,0.439,0.439,0.439,0.8915,0.0,0.7524,0.7288,0.9131,3.2858,0.8986,8.3958,0.6564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2685,207,85,0,12,418,229,2452,479,0,12,189,121,969,316,0,12,9.3,3.9,0.0,0.7,8.4,4.6,49.4,6.2,0.0,0.7,3.8,2.5,19.5,5.7,0.0,0.7
15,Hawaii,HI,15003,Honolulu County,15003003408,Census Tract 34.08; Honolulu County; Hawaii,0.035204394258,1986,254,1196,125,1076,152,457,294,96,81,551,182,109,63,34,32,381,147,316,96,170,111,21,40,74,76,1742,278,946,168,29,45,104,77,139,76,0,12,23.0,14.5,7.7,6.2,51.2,15.3,6.6,3.7,1.7,1.6,19.2,7.3,15.9,3.8,8.6,5.5,2.0,3.7,4.2,4.3,87.7,8.4,79.1,11.4,2.4,3.7,9.7,7.0,12.9,7.2,0.0,0.6,0.8066,0.7725,0.967,0.5728,0.2571,3.376,0.8199,0.4249,0.3216,0.2264,0.3113,0.6596,1.9438,0.1981,0.6338,0.6338,0.6338,0.8939,0.9717,0.6392,0.7877,0.0,3.2925,0.9009,9.2461,0.7536,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,788,99,61,70,58,65,60,945,246,0,12,78,89,584,182,0,12,9.2,5.6,3.5,2.9,3.3,3.0,47.6,10.4,0.0,1.6,3.9,4.3,29.4,8.8,0.0,1.6
15,Hawaii,HI,15003,Honolulu County,15003003409,Census Tract 34.09; Honolulu County; Hawaii,0.03097117193,1882,372,1136,151,1072,179,135,96,77,68,305,156,165,108,27,31,321,139,93,88,94,63,0,16,184,101,1529,411,922,229,0,12,58,56,97,65,0,12,7.2,4.9,6.4,5.4,28.5,13.8,10.0,7.0,1.5,1.7,17.1,7.6,4.9,4.3,5.3,3.4,0.0,1.5,9.9,5.0,81.2,14.8,81.2,17.0,0.0,2.8,5.4,5.1,9.0,6.3,0.0,0.6,0.2358,0.6872,0.6321,0.7817,0.2264,2.5632,0.5118,0.3216,0.0141,0.059,0.0,0.8897,1.2844,0.0307,0.439,0.439,0.439,0.8986,0.0,0.3915,0.7028,0.0,1.9929,0.467,6.2795,0.3246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,152,127,61,68,88,82,796,262,0,12,381,220,203,110,0,12,14.2,11.5,3.2,3.6,4.7,4.2,42.3,12.7,0.0,1.7,20.2,10.3,10.8,5.4,0.0,1.7
15,Hawaii,HI,15003,Honolulu County,15003003410,Census Tract 34.10; Honolulu County; Hawaii,0.026835633408,2342,1135,867,198,817,207,1021,1101,84,115,394,208,376,446,412,366,253,97,501,295,92,54,71,113,704,714,2223,1136,489,148,0,12,222,187,323,197,0,12,43.6,42.0,6.7,9.3,48.2,22.3,24.2,20.2,17.6,8.3,10.8,7.2,21.4,5.0,3.9,3.2,8.7,13.7,33.9,31.2,94.9,15.4,56.4,11.2,0.0,3.7,27.1,21.8,39.5,19.8,0.0,0.5,0.9717,0.7038,0.9505,0.9742,0.9953,4.5955,0.9976,0.1432,0.6127,0.0259,0.8821,1.0,2.6639,0.5967,0.8709,0.8709,0.8709,0.8302,0.0,0.9646,0.9741,0.0,2.7689,0.7335,10.8992,0.9336,1,0,1,1,1,4,0,0,0,0,1,1,0,0,0,0,1,1,0,2,7,326,54,48,24,41,75,74,777,312,0,12,1215,1204,132,121,0,12,6.6,6.3,1.0,1.9,3.2,3.8,33.2,21.8,0.0,1.4,51.9,30.4,5.6,6.2,0.0,1.4
15,Hawaii,HI,15003,Honolulu County,15003003411,Census Tract 34.11; Honolulu County; Hawaii,0.022954150002,1507,456,833,236,648,189,264,167,63,47,119,64,38,36,25,33,354,124,144,108,276,199,0,16,97,71,1216,498,678,266,0,12,64,48,76,68,0,12,17.5,9.7,6.8,4.7,18.4,8.3,3.0,2.8,1.7,1.9,23.5,10.1,9.6,5.6,18.3,11.7,0.0,2.5,6.8,4.5,80.7,22.3,81.4,22.1,0.0,3.8,9.8,6.8,11.7,12.2,0.0,0.8,0.6557,0.7062,0.3373,0.277,0.2571,2.2333,0.41,0.6737,0.0728,0.8986,0.0,0.7958,2.4409,0.4717,0.4178,0.4178,0.4178,0.9009,0.0,0.6462,0.7736,0.0,2.3207,0.6038,7.4127,0.5095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,472,31,28,0,12,44,51,560,152,8,13,251,314,353,184,0,12,4.8,4.3,0.0,2.1,2.9,3.2,37.2,13.4,0.5,0.8,16.7,17.9,23.4,11.1,0.0,2.1
15,Hawaii,HI,15003,Honolulu County,15003003412,Census Tract 34.12; Honolulu County; Hawaii,0.054550807172,2030,407,915,122,903,120,118,72,212,165,253,132,109,80,15,28,477,112,271,107,225,85,14,27,149,136,1517,474,835,155,0,12,103,105,33,30,0,12,5.8,3.4,16.4,10.0,28.0,14.1,6.7,4.7,0.7,1.4,23.5,6.6,13.3,3.4,11.1,4.1,1.6,3.0,7.6,6.7,74.7,17.9,91.3,11.8,0.0,3.5,11.4,11.5,3.7,3.3,0.0,0.6,0.1533,0.9834,0.6132,0.5751,0.1108,2.4358,0.4739,0.6737,0.1948,0.4434,0.2618,0.8286,2.4023,0.441,0.3451,0.3451,0.3451,0.9363,0.0,0.7146,0.4387,0.0,2.0896,0.5094,7.2728,0.4692,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,725,90,65,0,12,0,12,1337,471,0,12,11,57,169,92,0,12,10.0,7.6,0.0,1.6,0.0,1.6,65.9,12.8,0.0,1.6,0.5,2.8,8.3,4.6,0.0,1.6
15,Hawaii,HI,15003,Honolulu County,15003003413,Census Tract 34.13; Honolulu County; Hawaii,0.056522630086,2295,390,1391,127,1264,157,589,185,106,73,475,153,106,66,40,51,588,176,437,199,411,126,189,19,224,100,1472,415,1173,172,0,12,87,64,199,72,51,44,25.7,6.8,8.3,5.8,37.6,11.2,5.9,3.7,1.7,2.2,25.6,7.5,19.0,6.4,17.9,5.3,15.0,2.4,10.3,4.4,64.1,14.4,84.4,9.7,0.0,2.3,6.9,5.0,15.7,5.6,2.2,1.9,0.8443,0.8199,0.8255,0.5117,0.2571,3.2585,0.7678,0.7793,0.4812,0.8915,0.9741,0.9038,4.0299,0.9953,0.216,0.216,0.216,0.908,0.0,0.4575,0.816,0.7981,2.9796,0.7995,10.484,0.9052,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,3,950,224,88,91,101,65,52,883,334,0,12,140,110,293,175,0,12,17.7,6.8,4.0,4.3,2.8,2.4,38.5,10.2,0.0,1.4,6.1,4.6,12.8,7.2,0.0,1.4
15,Hawaii,HI,15003,Honolulu County,15003003414,Census Tract 34.14; Honolulu County; Hawaii,0.096814690398,4690,503,2570,178,2409,199,918,288,148,86,929,219,252,108,246,108,984,137,736,185,501,154,177,97,268,124,3953,538,2168,204,0,12,169,104,516,103,81,13,19.9,5.9,5.6,3.4,38.6,8.5,6.9,2.9,5.5,2.4,21.0,3.0,15.7,3.0,11.1,3.3,7.3,4.0,6.1,2.7,84.3,7.1,84.4,5.4,0.0,1.3,7.0,4.3,21.4,4.1,1.7,0.2,0.7264,0.6185,0.842,0.5892,0.7665,3.5426,0.8507,0.5305,0.3099,0.4434,0.8113,0.7653,2.8604,0.7264,0.5164,0.5164,0.5164,0.908,0.0,0.4811,0.8844,0.7676,3.0411,0.8278,9.9605,0.8649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1515,365,114,79,109,428,170,2217,396,55,70,345,224,815,223,14,21,15.2,5.0,1.7,2.3,9.1,3.7,47.3,5.6,1.2,1.5,7.4,4.9,17.4,4.0,0.3,0.4
15,Hawaii,HI,15003,Honolulu County,15003003501,Census Tract 35.01; Honolulu County; Hawaii,0.11497692847799999,2380,362,1402,152,1287,169,449,217,109,89,680,198,163,100,75,63,696,170,277,105,391,154,18,28,244,127,2033,385,1193,147,12,19,48,37,278,92,25,6,18.9,8.7,8.6,6.1,52.8,13.7,8.2,5.1,3.2,2.6,29.2,6.2,11.6,3.6,16.8,6.0,1.4,2.2,10.7,5.3,85.4,9.6,85.1,5.0,0.9,1.3,3.7,2.8,21.6,7.1,1.1,0.2,0.6981,0.827,0.9741,0.6948,0.5189,3.7129,0.8839,0.8756,0.1197,0.8514,0.2311,0.9108,2.9886,0.7759,0.5399,0.5399,0.5399,0.9127,0.8703,0.2807,0.8892,0.6878,3.6407,0.9599,10.8821,0.9289,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,3,3885,213,73,10,14,215,102,1338,289,0,12,225,172,245,102,0,12,16.6,6.1,0.4,0.6,9.0,4.3,56.2,8.1,0.0,1.4,9.5,6.7,10.3,4.6,0.0,1.4
15,Hawaii,HI,15003,Honolulu County,15003003503,Census Tract 35.03; Honolulu County; Hawaii,0.071333502806,1044,164,708,102,576,77,432,163,0,12,214,100,164,76,10,23,251,114,182,32,150,74,0,16,234,93,997,167,617,166,0,12,76,45,287,93,0,12,41.4,14.2,0.0,6.1,37.2,16.6,19.7,10.5,1.0,2.1,24.0,10.5,17.4,2.9,14.4,6.9,0.0,2.8,25.1,9.2,95.5,5.6,87.2,19.8,0.0,4.5,13.2,7.6,49.8,13.5,0.0,1.1,0.9623,0.0,0.816,0.9507,0.1462,2.8752,0.6232,0.6901,0.385,0.7217,0.0,0.9812,2.778,0.6769,0.892,0.892,0.892,0.9175,0.0,0.7995,0.9929,0.0,2.7099,0.717,9.2551,0.7583,1,0,0,1,0,2,0,0,0,0,1,1,0,0,1,0,0,1,0,2,5,2388,148,87,115,96,24,29,780,164,0,12,0,12,78,74,0,12,25.7,15.6,11.0,9.0,2.3,2.9,74.7,11.7,0.0,3.1,0.0,3.1,7.5,6.5,0.0,3.1
